year,info,title
2013,"{'actors': ['Paula Patton', 'Taye Diggs', 'Jill Scott'], 'release_date': '2013-09-27T00:00:00Z', 'plot': 'Pledging to keep herself from being the oldest and the only woman in her entire family never to wed, Montana embarks on a thirty-day, thirty-thousand-mile expedition to charm a potential suitor into becoming her fiance.', 'genres': ['Comedy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjIyNDU4NTY3M15BMl5BanBnXkFtZTcwOTA3MDA1OQ@@._V1_SX400_.jpg', 'directors': ['David E. Talbert'], 'rating': Decimal('4.1'), 'rank': Decimal('84'), 'running_time_secs': Decimal('5760')}",Baggage Claim
2013,"{'actors': ['Josh Holloway', 'Laz Alonso', 'Josh Peck'], 'release_date': '2013-09-19T00:00:00Z', 'plot': ""Battle of the Year attracts all the best teams from around the world, but the Americans haven't won in fifteen years. Dante enlists Blake to assemble a team of the best dancers and bring the Trophy back to America where it started."", 'genres': ['Music'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BOTY2OTcyNzM3NF5BMl5BanBnXkFtZTgwNzgxMjkxMDE@._V1_SX400_.jpg', 'directors': ['Benson Lee'], 'rating': Decimal('3.5'), 'rank': Decimal('37'), 'running_time_secs': Decimal('6600')}",Battle of the Year
2013,"{'actors': ['Matt Damon', 'Scott Bakula', 'Eric Zuckerman'], 'release_date': '2013-05-21T00:00:00Z', 'plot': 'Based on the autobiographical novel, the tempestuous 6-year relationship between Liberace and his (much younger) lover, Scott Thorson, is recounted.', 'genres': ['Biography', 'Drama', 'Romance'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg0OTY2OTM0OF5BMl5BanBnXkFtZTcwMTk4OTQ1OQ@@._V1_SX400_.jpg', 'directors': ['Steven Soderbergh'], 'rating': Decimal('7'), 'rank': Decimal('38'), 'running_time_secs': Decimal('7080')}",Behind the Candelabra
2013,"{'actors': ['Stana Katic', 'Radha Mitchell', 'Kate Bosworth'], 'release_date': '2013-01-23T00:00:00Z', 'plot': ""A recounting of Jack Kerouac's (here known by the name of his fictional alter-ego Jack Duluoz) three sojourns to the cabin in Big Sur, owned by poet Lawrence Ferlinghetti."", 'genres': ['Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjI3MDU0MDY2MF5BMl5BanBnXkFtZTgwNDY3NjUzMDE@._V1_SX400_.jpg', 'directors': ['Michael Polish'], 'rating': Decimal('6.3'), 'rank': Decimal('119'), 'running_time_secs': Decimal('6000')}",Big Sur
2013,"{'actors': ['Cate Blanchett', 'Alec Baldwin', 'Peter Sarsgaard'], 'release_date': '2013-07-26T00:00:00Z', 'plot': ""A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love..."", 'genres': ['Comedy', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTc0ODk5MzEyMV5BMl5BanBnXkFtZTcwMzI0MDY1OQ@@._V1_SX400_.jpg', 'directors': ['Woody Allen'], 'rating': Decimal('7.8'), 'rank': Decimal('58'), 'running_time_secs': Decimal('5880')}",Blue Jasmine
2013,"{'actors': ['Jonathan Groff', ""Denis O'Hare"", 'Corey Stoll'], 'release_date': '2013-01-20T00:00:00Z', 'plot': 'A cocky young man travels to Oregon to work on an apple farm. Out of his element, he finds his lifestyle and notions being picked apart by everyone who crosses his path.', 'genres': ['Comedy', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTExODkwNTAzODBeQTJeQWpwZ15BbWU3MDAzNzE4OTk@._V1_SX400_.jpg', 'directors': ['Kyle Patrick Alvarez'], 'rating': Decimal('4.8'), 'rank': Decimal('262'), 'running_time_secs': Decimal('5280')}",C.O.G.
2013,"{'actors': ['Malin Akerman', 'Stana Katic', 'Johnny Galecki'], 'release_date': '2013-09-05T00:00:00Z', 'plot': 'A look at the New York City punk-rock scene and the venerable nightclub, CBGB.', 'genres': ['Drama', 'History', 'Music'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg1NDcxODY0OV5BMl5BanBnXkFtZTgwOTgwMzQxMDE@._V1_SX400_.jpg', 'directors': ['Randall Miller'], 'rating': Decimal('6.3'), 'rank': Decimal('154')}",CBGB
2013,"{'actors': ['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman'], 'release_date': '2013-09-27T00:00:00Z', 'plot': 'The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.', 'genres': ['Action', 'Biography', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQzNzExMDg3Ml5BMl5BanBnXkFtZTgwODU1NzEzMDE@._V1_SX400_.jpg', 'directors': ['Paul Greengrass'], 'rating': Decimal('6.7'), 'rank': Decimal('101'), 'running_time_secs': Decimal('8040')}",Captain Phillips
2013,"{'actors': ['Chloe Grace Moretz', 'Julianne Moore', 'Judy Greer'], 'release_date': '2013-10-07T00:00:00Z', 'plot': 'A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.', 'genres': ['Drama', 'Horror'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTc1MDIyOTkxN15BMl5BanBnXkFtZTgwMTU1NzEzMDE@._V1_SX400_.jpg', 'directors': ['Kimberly Peirce'], 'rank': Decimal('31')}",Carrie
2013,"{'actors': ['Bill Hader', 'Anna Faris', 'Will Forte'], 'release_date': '2013-09-26T00:00:00Z', 'plot': ""Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational and is churning out menacing food-animal hybrids."", 'genres': ['Animation', 'Comedy', 'Family', 'Sci-Fi'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_SX400_.jpg', 'directors': ['Cody Cameron', 'Kris Pearn'], 'rating': Decimal('6.7'), 'rank': Decimal('29'), 'running_time_secs': Decimal('5700')}",Cloudy with a Chance of Meatballs 2
2013,"{'actors': ['Chantal Quesnelle', 'Fiona Dourif', 'Danielle Bisutti'], 'release_date': '2013-08-02T00:00:00Z', 'plot': ""After her mother's mysterious death, Nica begins to suspect that the talking, red-haired doll her visiting niece has been playing with may be the key to recent bloodshed and chaos."", 'genres': ['Horror', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjkxMjM0MDE3OF5BMl5BanBnXkFtZTcwMDQ3NzI4OQ@@._V1_SX400_.jpg', 'directors': ['Don Mancini'], 'rating': Decimal('5.7'), 'rank': Decimal('24'), 'running_time_secs': Decimal('5820')}",Curse of Chucky
2013,"{'actors': ['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt'], 'release_date': '2013-06-16T00:00:00Z', 'plot': 'Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.', 'genres': ['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BOTg4NTk2OTg5N15BMl5BanBnXkFtZTcwMDk1MzI2OQ@@._V1_SX400_.jpg', 'directors': ['Pierre Coffin', 'Chris Renaud'], 'rating': Decimal('7.7'), 'rank': Decimal('55'), 'running_time_secs': Decimal('5880')}",Despicable Me 2
2013,"{'actors': ['Jude Law', 'Richard E. Grant', 'Demian Bichir'], 'release_date': '2013-09-08T00:00:00Z', 'plot': ""After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed."", 'genres': ['Comedy', 'Crime', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTczMDYzOTAwM15BMl5BanBnXkFtZTgwMDg5OTgwMDE@._V1_SX400_.jpg', 'directors': ['Richard Shepard'], 'rating': Decimal('6.9'), 'rank': Decimal('51'), 'running_time_secs': Decimal('5580')}",Dom Hemingway
2013,"{'actors': ['Matt Damon', 'Jodie Foster', 'Sharlto Copley'], 'release_date': '2013-08-07T00:00:00Z', 'plot': 'Set in the year 2154, where the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth, a man takes on a mission that could bring equality to the polarized worlds.', 'genres': ['Action', 'Drama', 'Sci-Fi', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNDc2NjU0MTcwNV5BMl5BanBnXkFtZTcwMjg4MDg2OQ@@._V1_SX400_.jpg', 'directors': ['Neill Blomkamp'], 'rating': Decimal('7'), 'rank': Decimal('28'), 'running_time_secs': Decimal('6540')}",Elysium
2013,"{'actors': ['Liam Hemsworth', 'Michael Angarano', 'Dwayne Johnson'], 'release_date': '2013-03-19T00:00:00Z', 'plot': 'A drama centered on two childhood friends who plan to rob an armored car depository, and the NYPD officer who stands in their way.', 'genres': ['Action', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjExOTY4MDEzNF5BMl5BanBnXkFtZTcwNzIyMTY3OQ@@._V1_SX400_.jpg', 'directors': ['Dito Montiel'], 'rating': Decimal('5'), 'rank': Decimal('132'), 'running_time_secs': Decimal('5640')}",Empire State
2013,"{'actors': ['Harrison Ford', 'Asa Butterfield', 'Hailee Steinfeld'], 'release_date': '2013-10-24T00:00:00Z', 'plot': '70 years after a horrific alien war, an unusually gifted child is sent to an advanced military school in space to prepare for a future invasion.', 'genres': ['Action', 'Adventure', 'Sci-Fi'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjAzMzI5OTgzMl5BMl5BanBnXkFtZTgwMTU5MTAwMDE@._V1_SX400_.jpg', 'directors': ['Gavin Hood'], 'rank': Decimal('59'), 'running_time_secs': Decimal('6840')}",Ender's Game
2013,"{'actors': ['Julia Louis-Dreyfus', 'James Gandolfini', 'Catherine Keener'], 'release_date': '2013-09-07T00:00:00Z', 'plot': ""A divorced woman who decides to pursue the man she's interested in learns he's her new friend's ex-husband."", 'genres': ['Comedy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjI2MjIwMDk2Ml5BMl5BanBnXkFtZTcwNTQ1MzQ5OQ@@._V1_SX400_.jpg', 'directors': ['Nicole Holofcener'], 'rating': Decimal('7.5'), 'rank': Decimal('148'), 'running_time_secs': Decimal('5580')}",Enough Said
2013,"{'actors': ['Amanda Seyfried', 'Josh Hutcherson', 'Beyonce Knowles'], 'release_date': '2013-05-15T00:00:00Z', 'plot': 'A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world -- and ours.', 'genres': ['Animation', 'Adventure', 'Family', 'Fantasy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTgyNDYwNzE5NV5BMl5BanBnXkFtZTcwMzUyODM5OA@@._V1_SX400_.jpg', 'directors': ['Chris Wedge'], 'rating': Decimal('6.6'), 'rank': Decimal('47'), 'running_time_secs': Decimal('6120')}",Epic
2013,"{'actors': ['Sylvester Stallone', 'Arnold Schwarzenegger', '50 Cent'], 'release_date': '2013-07-18T00:00:00Z', 'plot': 'When a structural-security authority finds himself incarcerated in a prison he designed, he has to put his skills to escape and find out who framed him.', 'genres': ['Action', 'Mystery', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTk3OTcxMTEyNl5BMl5BanBnXkFtZTcwMDQ4MjQ2OQ@@._V1_SX400_.jpg', 'directors': ['Mikael Hafstrom'], 'rating': Decimal('7.6'), 'rank': Decimal('27'), 'running_time_secs': Decimal('6960')}",Escape Plan
2013,"{'actors': ['Roy Abramsohn', 'Elena Schuber', 'Katelynn Rodriguez'], 'release_date': '2013-01-18T00:00:00Z', 'plot': ""In a world of fake castles and anthropomorphic rodents, an epic battle begins when an unemployed father's sanity is challenged by a chance encounter with two underage girls on holiday."", 'genres': ['Drama', 'Fantasy', 'Horror'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNTIxNjcxOTgxM15BMl5BanBnXkFtZTgwMjYzODEzMDE@._V1_SX400_.jpg', 'directors': ['Randy Moore'], 'rating': Decimal('5.9'), 'rank': Decimal('146'), 'running_time_secs': Decimal('5400')}",Escape from Tomorrow
2013,"{'actors': ['Jane Levy', 'Shiloh Fernandez', 'Jessica Lucas'], 'release_date': '2013-03-08T00:00:00Z', 'plot': 'Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods. The evil presence possesses them until only one is left to fight for survival.', 'genres': ['Horror'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNTQ3OTkwNTgyN15BMl5BanBnXkFtZTcwNTAzOTAzOQ@@._V1_SX400_.jpg', 'directors': ['Fede Alvarez'], 'rating': Decimal('6.5'), 'rank': Decimal('158'), 'running_time_secs': Decimal('5460')}",Evil Dead
2013,"{'actors': ['James McAvoy', 'Imogen Poots', 'Iain De Caestecker'], 'release_date': '2013-09-16T00:00:00Z', 'plot': 'A bipolar, bigoted junkie cop manipulates and hallucinates his way through the festive season in a bid to secure promotion and win back his wife and daughter.', 'genres': ['Comedy', 'Crime', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BODc3MjY5NTQxNl5BMl5BanBnXkFtZTcwNTQxMzczOQ@@._V1_SX400_.jpg', 'directors': ['Jon S. Baird'], 'rating': Decimal('7.2'), 'rank': Decimal('144'), 'running_time_secs': Decimal('5820')}",Filth
2013,"{'actors': ['Kristen Bell', 'Josh Gad', 'Idina Menzel'], 'release_date': '2013-11-20T00:00:00Z', 'plot': ""Fearless optimist Anna teams up with Kristoff in an epic journey, encountering Everest-like conditions, and a hilarious snowman named Olaf in a race to find Anna's sister Elsa, whose icy powers have trapped the kingdom in eternal winter."", 'genres': ['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Mystery', 'Romance', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX400_.jpg', 'directors': ['Chris Buck', 'Jennifer Lee'], 'rank': Decimal('75')}",Frozen
2013,"{'actors': ['Vin Diesel', 'Paul Walker', 'Dwayne Johnson'], 'release_date': '2013-05-07T00:00:00Z', 'plot': 'Hobbs has Dom and Brian reassemble their crew in order to take down a mastermind who commands an organization of mercenary drivers across 12 countries. Payment? Full pardons for them all.', 'genres': ['Action', 'Crime', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTM3NTg2NDQzOF5BMl5BanBnXkFtZTcwNjc2NzQzOQ@@._V1_SX400_.jpg', 'directors': ['Justin Lin'], 'rating': Decimal('7.2'), 'rank': Decimal('42'), 'running_time_secs': Decimal('7800')}",Furious 6
2013,"{'actors': ['Dwayne Johnson', 'Channing Tatum', 'Adrianne Palicki'], 'release_date': '2013-03-11T00:00:00Z', 'plot': 'The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.', 'genres': ['Action', 'Adventure', 'Sci-Fi', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNzk5ODM0OTQ0N15BMl5BanBnXkFtZTcwODg2ODE4OA@@._V1_SX400_.jpg', 'directors': ['Jon M. Chu'], 'rating': Decimal('5.8'), 'rank': Decimal('178'), 'running_time_secs': Decimal('6600')}",G.I. Joe: Retaliation
2013,"{'actors': ['Sean Penn', 'Ryan Gosling', 'Emma Stone'], 'release_date': '2013-01-07T00:00:00Z', 'plot': 'Los Angeles, 1949: A secret crew of police officers led by two determined sergeants work together in an effort to take down the ruthless mob king Mickey Cohen who runs the city.', 'genres': ['Action', 'Crime', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTcwMjAyMTUzMl5BMl5BanBnXkFtZTcwODgxNzk1OA@@._V1_SX400_.jpg', 'directors': ['Ruben Fleischer'], 'rating': Decimal('6.7'), 'rank': Decimal('265'), 'running_time_secs': Decimal('6780')}",Gangster Squad
2013,"{'actors': ['Arnold Schwarzenegger', 'Mickey Rourke', 'Michael Jai White'], 'release_date': '2013-09-20T00:00:00Z', 'plot': 'A documentary that follows top bodybuilders as they train to compete in the Mr. Olympia competition.', 'genres': ['Documentary', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTY3NDcxNjIzMF5BMl5BanBnXkFtZTgwMzM1NDAxMDE@._V1_SX400_.jpg', 'directors': ['Vlad Yudin'], 'rating': Decimal('6.7'), 'rank': Decimal('240'), 'running_time_secs': Decimal('6360')}",Generation Iron
2013,"{'actors': ['Carlos Santos', 'J.R. Villarreal', 'Tony Cavalero'], 'release_date': '2013-01-20T00:00:00Z', 'plot': 'Two roommates deathly afraid of ghosts both fall in love with a girl who believes their home is haunted.', 'genres': ['Comedy', 'Horror'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BOTYwODQ3NzUyOV5BMl5BanBnXkFtZTgwNjAxNDcyMDE@._V1_SX400_.jpg', 'directors': ['Ben Peyser', 'Scott Rutherford'], 'rating': Decimal('4.3'), 'rank': Decimal('70'), 'running_time_secs': Decimal('6420')}",Ghost Team One
2013,"{'actors': ['Sandra Bullock', 'George Clooney', 'Ed Harris'], 'release_date': '2013-08-28T00:00:00Z', 'plot': 'A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.', 'genres': ['Drama', 'Sci-Fi', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX400_.jpg', 'directors': ['Alfonso Cuaron'], 'rating': Decimal('8.2'), 'rank': Decimal('12'), 'running_time_secs': Decimal('5400')}",Gravity
2013,"{'actors': ['Adam Sandler', 'Kevin James', 'Chris Rock'], 'release_date': '2013-07-11T00:00:00Z', 'plot': 'After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.', 'genres': ['Comedy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTgwNTI2MDI0OF5BMl5BanBnXkFtZTcwMTk5MDg0OQ@@._V1_SX400_.jpg', 'directors': ['Dennis Dugan'], 'rating': Decimal('5.2'), 'rank': Decimal('98'), 'running_time_secs': Decimal('6060')}",Grown Ups 2
2013,"{'actors': ['Jeremy Renner', 'Gemma Arterton', 'Peter Stormare'], 'release_date': '2013-01-17T00:00:00Z', 'plot': 'Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past.', 'genres': ['Action', 'Fantasy', 'Horror'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjA4MDQwODg2NV5BMl5BanBnXkFtZTcwNTc5ODc2OA@@._V1_SX400_.jpg', 'directors': ['Tommy Wirkola'], 'rating': Decimal('6.1'), 'rank': Decimal('234'), 'running_time_secs': Decimal('5280')}",Hansel & Gretel: Witch Hunters
2013,"{'actors': ['James Franco', 'Jason Statham', 'Rachelle Lefevre'], 'release_date': '2013-11-27T00:00:00Z', 'plot': 'A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.', 'genres': ['Action', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTUwOTAzNzAwMl5BMl5BanBnXkFtZTgwOTc1NDIyMDE@._V1_SX400_.jpg', 'directors': ['Gary Fleder'], 'rank': Decimal('211')}",Homefront
2013,"{'actors': ['Jason Statham', 'Agata Buzek', 'Vicky McClure'], 'release_date': '2013-05-09T00:00:00Z', 'plot': ""Homeless and on the run from a military court martial, a damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity -- transforming into an avenging angel in the process."", 'genres': ['Action', 'Crime', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjI0ODc3NjI4NV5BMl5BanBnXkFtZTcwOTc3MzI1OQ@@._V1_SX400_.jpg', 'directors': ['Steven Knight'], 'rating': Decimal('6.2'), 'rank': Decimal('93'), 'running_time_secs': Decimal('6000')}",Hummingbird
2013,"{'actors': ['Jemma Dallender', 'Yavor Baharov', 'Joe Absolom'], 'release_date': '2013-08-25T00:00:00Z', 'genres': ['Crime', 'Horror', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTc1Nzk3NjM0M15BMl5BanBnXkFtZTgwMjM5MzYyMDE@._V1_SX400_.jpg', 'directors': ['Steven R. Monroe'], 'rating': Decimal('5.5'), 'rank': Decimal('36'), 'running_time_secs': Decimal('6360')}",I Spit on Your Grave 2
2013,"{'actors': ['Patrick Wilson', 'Rose Byrne', 'Barbara Hershey'], 'release_date': '2013-09-13T00:00:00Z', 'plot': 'The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.', 'genres': ['Horror', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX400_.jpg', 'directors': ['James Wan'], 'rating': Decimal('7.1'), 'rank': Decimal('7'), 'running_time_secs': Decimal('6360')}",Insidious: Chapter 2
2013,"{'actors': ['Robert Downey Jr.', 'Guy Pearce', 'Gwyneth Paltrow'], 'release_date': '2013-04-18T00:00:00Z', 'plot': ""When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."", 'genres': ['Action', 'Adventure', 'Sci-Fi'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjIzMzAzMjQyM15BMl5BanBnXkFtZTcwNzM2NjcyOQ@@._V1_SX400_.jpg', 'directors': ['Shane Black'], 'rating': Decimal('7.4'), 'rank': Decimal('22'), 'running_time_secs': Decimal('7800')}",Iron Man 3
